time,PM2.5,freq
2016-06-11,66.59166666666668,64.0
2016-06-12,81.24166666666669,60.0
2016-06-13,68.29583333333333,69.0
2016-06-14,86.63333333333334,126.0
2016-06-15,79.80000000000001,56.0
2016-06-16,55.291666666666664,53.0
2016-06-17,72.1217391304348,64.0
2016-06-18,67.16250000000001,55.0
2016-06-19,64.45416666666668,59.0
2016-06-20,60.43333333333334,61.0
2016-06-21,55.90416666666667,62.0
2016-06-22,74.4391304347826,50.0
2016-06-23,82.00434782608694,81.0
2016-06-24,89.94583333333333,209.0
2016-06-25,45.162499999999994,243.0
2016-06-26,58.11304347826086,207.0
2016-06-27,77.05833333333335,224.0
2016-06-28,69.47083333333332,223.0
2016-06-29,59.25416666666667,195.0
2016-06-30,61.7875,157.0
2016-07-01,69.69583333333334,141.0
2016-07-02,55.491666666666674,105.0
2016-07-03,63.84166666666669,34.0
2016-07-04,61.24285714285714,67.0
2016-07-05,100.60000000000001,83.0
2016-07-06,59.42083333333332,102.0
2016-07-07,49.79583333333334,34.0
2016-07-08,44.45416666666666,143.0
2016-07-09,40.88947368421053,91.0
2016-07-10,54.1,90.0
2016-07-11,40.137499999999996,71.0
2016-07-12,48.040909090909096,133.0
2016-07-13,76.35833333333333,99.0
2016-07-14,60.2,149.0
2016-07-15,52.73333333333333,187.0
2016-07-16,66.87083333333334,196.0
2016-07-17,54.1391304347826,301.0
2016-07-18,61.54347826086956,256.0
2016-07-19,65.14761904761905,230.0
2016-07-20,53.74347826086956,296.0
2016-07-21,76.83749999999999,298.0
2016-07-22,76.01363636363638,299.0
2016-07-23,46.48,224.0
2016-07-24,62.49090909090909,238.0
2016-07-25,74.71249999999996,231.0
2016-07-26,55.96,312.0
2016-07-27,52.199999999999996,292.0
2016-07-28,53.404347826086955,275.0
2016-07-29,44.7125,336.0
